,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,model_path,rel_filter_threshold,prop_drop
572,ade_elec_train,2022-03-28_11.40.36.811485,89.36978537655797,78.88283378746594,78.88283378746594,88.96765618077093,78.88283378746594,78.88283378746594,4,20,100,100,5e-05,0.02,google/electra-base-discriminator,0.4,0.1
573,ade_elec_train,2022-03-28_09.15.25.384607,89.57620703190715,78.64271457085827,78.64271457085827,89.13330400351957,78.64271457085827,78.64271457085827,4,20,100,100,3e-05,0.02,google/electra-base-discriminator,0.4,0.2
574,ade_elec_train,2022-03-28_08.52.24.200104,90.38571234022686,79.68232958305758,79.68232958305758,89.9736147757256,79.68232958305758,79.68232958305758,4,20,100,100,3e-05,0.02,kamalkraj/bioelectra-base-discriminator-pubmed,0.4,0.1
575,ade_elec_train,2022-03-28_14.51.38.125453,89.18939133036253,79.18552036199095,79.18552036199095,88.96134140661388,79.18552036199095,79.18552036199095,4,20,100,100,7e-05,0.02,google/electra-base-discriminator,0.4,0.1
576,ade_elec_train,2022-03-28_17.20.54.988140,89.4409680248406,79.21225382932167,79.21225382932167,89.11345888837849,79.21225382932167,79.21225382932167,4,20,100,100,7e-05,0.01,google/electra-base-discriminator,0.4,0.2
577,ade_elec_train,2022-03-28_11.16.56.892174,90.80924674429713,81.01945003353455,81.01945003353455,90.42787825319806,81.01945003353455,81.01945003353455,4,20,100,100,3e-05,0.01,kamalkraj/bioelectra-base-discriminator-pubmed,0.4,0.2
578,ade_elec_train,2022-03-28_14.29.02.203078,89.96035371942685,80.41237113402062,80.41237113402062,89.69976905311779,80.41237113402062,80.41237113402062,4,20,100,100,5e-05,0.01,kamalkraj/bioelectra-base-discriminator-pubmed,0.4,0.2
579,ade_elec_train,2022-03-28_15.40.18.027594,88.9748239362375,79.04624277456648,79.04624277456648,88.67491976157726,79.04624277456648,79.04624277456648,4,20,100,100,7e-05,0.02,google/electra-base-discriminator,0.4,0.2
580,ade_elec_train,2022-03-28_16.31.12.794786,88.12729498164013,77.22918201915991,77.22918201915991,87.84530386740332,77.22918201915991,77.22918201915991,4,20,100,100,7e-05,0.01,google/electra-base-discriminator,0.4,0.1
581,ade_elec_train,2022-03-28_13.38.42.558541,90.06264239363978,81.23123123123122,81.23123123123122,89.78644382544104,81.23123123123122,81.23123123123122,4,20,100,100,5e-05,0.01,kamalkraj/bioelectra-base-discriminator-pubmed,0.4,0.1
582,ade_elec_train,2022-03-28_10.04.02.063770,89.3041643538376,78.52348993288591,78.52348993288591,88.88888888888889,78.52348993288591,78.52348993288591,4,20,100,100,3e-05,0.01,google/electra-base-discriminator,0.4,0.1
583,ade_elec_train,2022-03-28_08.30.15.302246,89.04070467280015,78.14391392064559,78.14391392064559,88.63334807607254,78.14391392064559,78.14391392064559,4,20,100,100,3e-05,0.02,google/electra-base-discriminator,0.4,0.1
584,ade_elec_train,2022-03-28_12.49.31.274975,89.5419965843813,79.94034302759134,79.94034302759134,89.19796012980993,79.94034302759134,79.94034302759134,4,20,100,100,5e-05,0.02,kamalkraj/bioelectra-base-discriminator-pubmed,0.4,0.2
585,ade_elec_train,2022-03-28_16.05.45.610247,89.17595713421484,79.49101796407186,79.49101796407186,88.81670533642692,79.49101796407186,79.49101796407186,4,20,100,100,7e-05,0.02,kamalkraj/bioelectra-base-discriminator-pubmed,0.4,0.2
586,ade_elec_train,2022-03-28_10.29.53.619221,90.60833902939169,80.59701492537313,80.59701492537313,90.23420238621298,80.59701492537313,80.59701492537313,4,20,100,100,3e-05,0.01,kamalkraj/bioelectra-base-discriminator-pubmed,0.4,0.1
587,ade_elec_train,2022-03-28_15.14.56.276390,89.5386567942595,80.23686158401185,80.23686158401185,89.27911275415896,80.23686158401185,80.23686158401185,4,20,100,100,7e-05,0.02,kamalkraj/bioelectra-base-discriminator-pubmed,0.4,0.1
