,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,eval_batch_size,rel_filter_threshold,prop_drop
220,scierc_elec_train,2022-03-23_08.55.05.771090,64.39445064063779,42.93639373350876,30.720048248812088,67.03567035670358,44.31687715269805,33.524684270952925,4,20,125,125,6e-05,0.02,1,0.5,0.1
221,scierc_elec_train,2022-03-23_11.55.09.385546,65.56769928108555,41.41715761935814,31.201718638884472,67.98029556650246,43.75,35.879629629629626,4,20,100,100,6e-05,0.01,1,0.5,0.1
222,scierc_elec_train,2022-03-23_11.39.36.593974,64.69447791125653,43.01330090738957,32.458136003198405,66.66666666666667,44.338498212157326,35.280095351609056,4,20,100,100,6e-05,0.01,1,0.5,0.1
223,scierc_elec_train,2022-03-22_18.25.20.499416,66.45423320792271,43.43561773471004,35.45504759253006,67.72810777709736,45.23536165327211,37.19862227324914,4,20,100,100,6e-05,0.01,1,0.5,0.1
224,scierc_elec_train,2022-03-23_11.23.18.939754,64.76727182579899,41.43622815642578,31.20764502578894,67.40467404674047,43.74269005847953,34.152046783625735,4,20,100,100,6e-05,0.01,1,0.5,0.1
225,scierc_elec_train,2022-03-23_10.29.57.403079,66.19570649563093,40.217363331059424,31.584131231136283,67.6980198019802,44.07971864009379,35.873388042204,4,20,100,100,5.5e-05,0.01,1,0.5,0.1
226,scierc_elec_train,2022-03-23_09.43.18.960435,65.53632775228031,38.70308210196756,28.439764884087147,67.0807453416149,41.80522565320665,32.779097387173394,4,20,100,100,7e-05,0.01,1,0.5,0.1
227,scierc_elec_train,2022-03-22_18.41.01.219059,66.48467042934229,42.78038126188749,32.37627659974658,68.21232458816351,43.90804597701149,34.48275862068966,4,20,100,100,6e-05,0.01,1,0.5,0.1
228,scierc_elec_train,2022-03-22_20.15.48.486074,67.94868352617928,42.290068386031,30.97763037204003,69.41031941031942,43.73576309794988,33.94077448747153,4,20,125,100,6e-05,0.02,1,0.5,0.1
229,scierc_elec_train,2022-03-23_11.07.38.225160,66.06615351635028,42.04370059943206,33.12007143603598,68.06670784434836,43.13725490196078,35.29411764705882,4,20,100,100,6e-05,0.01,1,0.5,0.1
230,scierc_elec_train,2022-03-22_20.32.00.719556,66.27493866160795,40.56835075172983,28.2732417862121,68.05385556915544,43.15906562847608,33.37041156840934,4,20,125,100,6e-05,0.02,1,0.35,0.1
231,scierc_elec_train,2022-03-23_10.51.54.218632,65.44525990444934,42.79913606932931,31.01659783918625,67.5356921166977,44.14957780458384,34.016887816646566,4,20,100,100,6e-05,0.01,1,0.5,0.1
