,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,eval_batch_size,rel_filter_threshold,prop_drop
618,docRed_bert_train_lvl,2022-04-04_04.33.41.768240,86.47059153106737,35.24556056888401,34.56945157093762,87.78347732181425,60.616856677524446,60.00610749185668,12,30,200,200,5e-05,0.01,12,0.5,0.1
619,docRed_bert_train_lvl,2022-04-03_20.17.39.406912,87.03974991477472,33.25267401834976,32.569558794693265,88.18530110079863,59.65463108320252,59.06593406593407,12,30,200,200,3e-05,0.01,12,0.5,0.1
620,docRed_bert_train_lvl,2022-04-03_09.53.29.305955,87.1933138033085,27.923647785292715,26.97150102531548,88.30548926014319,57.66744246185673,57.20196534781484,12,20,200,200,8e-05,0.1,1,0.5,0.2
621,docRed_bert_train_lvl,2022-04-04_18.41.50.524935,99.80374418093896,64.97584472705805,64.97584472705805,99.85773692274022,90.01372010976087,90.01372010976087,12,30,200,200,8e-05,0.1,12,0.5,0.2
622,docRed_bert_train_lvl,2022-04-04_10.47.30.574246,86.96724223360654,34.71239885000345,33.661195460797714,88.06941431670282,60.94398340248964,60.37344398340249,12,30,200,200,5e-05,0.0,12,0.5,0.2
623,docRed_bert_train_lvl,2022-04-03_12.41.38.402599,81.97743009185615,12.704020133414156,12.277743961944454,83.15334773218143,54.353360488798366,53.58961303462322,12,30,100,100,0.0001,0.1,12,0.5,0.2
624,docRed_bert_train_lvl,2022-04-03_22.23.39.487412,87.12714092910687,32.44890517138278,32.11624438194621,88.27263885887184,58.80336858597728,58.55855855855856,12,30,200,200,3e-05,0.01,12,0.5,0.2
625,docRed_bert_train_lvl,2022-04-04_00.28.25.135008,86.8513204522814,33.14883216288022,32.421541407426126,88.05837289598618,58.97058823529412,58.57843137254902,12,30,200,200,3e-05,0.0,12,0.5,0.1
626,docRed_bert_train_lvl,2022-04-04_08.40.39.096705,86.73974244813456,33.80404129813747,32.79804908282355,87.93494704992436,60.51587301587301,59.88930659983291,12,30,200,200,5e-05,0.0,12,0.5,0.1
627,docRed_bert_train_lvl,2022-04-04_18.38.54.835873,88.10854948145833,0.7786336341853745,0.7786336341853745,88.62252663622529,15.032948929159804,15.032948929159804,12,30,200,200,5e-05,0.01,12,0.5,0.1
628,docRed_bert_train_lvl,2022-04-03_13.41.39.227964,84.55499769162581,17.08253400818883,16.696260810982015,85.42587913244894,56.68127053669223,56.33899233296823,12,30,150,100,0.0001,0.1,12,0.5,0.2
629,docRed_bert_train_lvl,2022-04-03_14.13.28.193946,84.62813722023678,29.03072057253175,27.33518718735813,85.6761090326029,57.82160466158673,56.81308830121024,12,30,200,100,0.0001,0.1,12,0.5,0.2
630,docRed_bert_train_lvl,2022-04-03_15.16.37.215988,86.60935844047687,33.76182522652476,33.17360452644891,87.55518466673846,60.8502812635223,60.471657291215934,12,30,200,100,8e-05,0.1,12,0.5,0.2
631,docRed_bert_train_lvl,2022-04-03_18.02.08.888896,86.08975820506672,32.29716360664856,31.953536005994497,87.37548722390646,61.44725177304964,61.22562056737589,12,30,200,200,8e-05,0.1,12,0.5,0.2
632,docRed_bert_train_lvl,2022-04-04_02.30.54.745259,87.33920125557133,32.91514779858216,32.31433702606784,88.45613656006914,60.01218521527214,59.707554833468734,12,30,200,200,3e-05,0.0,12,0.5,0.2
633,docRed_bert_train_lvl,2022-04-02_15.54.11.598914,87.51997510643204,28.85479709821751,28.33995572386095,88.56444384082576,57.767607424358005,57.41164505466565,8,20,200,200,5e-05,0.1,1,0.5,0.2
634,docRed_bert_train_lvl,2022-04-04_06.37.09.385758,87.20721630523974,34.14078959352184,33.3032087239118,88.3480985306828,60.57224025974026,60.06493506493506,12,30,200,200,5e-05,0.01,12,0.5,0.2
