,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,eval_batch_size,rel_filter_threshold,prop_drop
425,conll04_rob_train,2022-03-25_20.09.07.812369,82.85645554565679,64.56922176689879,64.56922176689879,86.22420524261014,64.04657933042212,64.04657933042212,4,20,100,100,6e-05,0.005,1,0.4,0.2
426,conll04_rob_train,2022-03-25_09.15.00.314373,81.70860769353013,66.88645902683248,66.88645902683248,85.87319243604004,66.5680473372781,66.5680473372781,4,20,100,100,3e-05,0.005,1,0.45,0.25
427,conll04_rob_train,2022-03-25_20.01.13.109485,81.6083175072308,67.26299175196353,67.26299175196353,85.40965207631874,66.05222734254991,66.05222734254991,4,20,100,100,6e-05,0.005,1,0.4,0.1
428,conll04_rob_train,2022-03-25_17.50.59.808280,82.69954016822933,68.4857482154319,68.26953199921569,86.09566184649611,67.05202312138728,66.76300578034683,4,20,100,100,6e-05,0.01,1,0.45,0.25
429,conll04_rob_train,2022-03-25_11.38.51.686519,80.50234156285438,63.74703965998109,63.74703965998109,85.04109589041097,63.20224719101124,63.20224719101124,4,20,100,100,3e-05,0.0,1,0.5,0.15
430,conll04_rob_train,2022-03-25_05.23.36.010674,0.0,0.0,0.0,0.0,0.0,0.0,4,20,100,100,5e-05,0.005,1,0.4,0.2
431,conll04_rob_train,2022-03-25_05.16.49.185013,82.81059186846099,65.05382719812157,65.05382719812157,86.33093525179856,63.793103448275865,63.793103448275865,4,20,100,100,5e-05,0.005,1,0.4,0.1
432,conll04_rob_train,2022-03-25_23.43.08.813396,81.51201862713903,66.58563641710607,66.58563641710607,84.72299944040292,65.43778801843318,65.43778801843318,4,20,100,100,6e-05,0.0,1,0.45,0.25
433,conll04_rob_train,2022-03-25_01.20.50.828561,63.84568558644029,29.97346562903752,29.810200322915065,69.76744186046511,25.984251968503933,25.787401574803148,4,20,100,100,1e-05,0.05,1,0.4,0.2
434,conll04_rob_train,2022-03-25_07.37.05.670605,0.0,0.0,0.0,0.0,0.0,0.0,4,20,100,100,0.0001,0.01,1,0.5,0.1
435,conll04_rob_train,2022-03-25_06.23.24.400353,83.17211009486635,69.29378587804236,68.64337937397733,86.74157303370788,67.82884310618066,67.19492868462757,4,20,100,100,5e-05,0.0,1,0.5,0.2
436,conll04_rob_train,2022-03-25_05.30.22.899153,81.44329405717464,65.84644201334571,65.61655695587444,85.60179977502813,65.527950310559,65.21739130434783,4,20,100,100,5e-05,0.005,1,0.5,0.0
437,conll04_rob_train,2022-03-25_22.50.10.647388,81.01774494066969,68.89494197558714,68.89494197558714,84.89612577203818,67.85185185185185,67.85185185185185,4,20,100,100,6e-05,0.0,1,0.4,0.0
438,conll04_rob_train,2022-03-25_04.29.31.338070,0.0,0.0,0.0,0.0,0.0,0.0,4,20,100,100,5e-05,0.01,1,0.4,0.0
439,conll04_rob_train,2022-03-25_03.35.47.610491,65.13198628015414,33.293422039024826,33.114049841715406,70.73295745771398,29.587155963302752,29.35779816513761,4,20,100,100,1e-05,0.0,1,0.5,0.1
440,conll04_rob_train,2022-03-25_12.57.11.825786,82.96231189183145,66.55130722650954,66.55130722650954,86.3460475400774,65.26315789473685,65.26315789473685,4,20,100,100,4e-05,0.005,1,0.45,0.25
441,conll04_rob_train,2022-03-25_15.29.20.717531,81.76614536879197,63.91979179398156,63.91979179398156,85.52412645590681,63.77245508982036,63.77245508982036,4,20,100,100,4e-05,0.0,1,0.5,0.3
442,conll04_rob_train,2022-03-25_13.12.17.909867,80.40613939871119,64.76091103139892,64.52835289186403,84.79823106688778,64.29629629629629,64.0,4,20,100,100,4e-05,0.005,1,0.45,0.4
443,conll04_rob_train,2022-03-25_07.03.35.614105,0.0,0.0,0.0,0.0,0.0,0.0,4,20,100,100,0.0001,0.05,1,0.5,0.2
444,conll04_rob_train,2022-03-25_08.11.00.080951,0.0,0.0,0.0,0.0,0.0,0.0,4,20,100,100,0.0001,0.005,1,0.5,0.0
445,conll04_rob_train,2022-03-25_17.00.03.332773,81.14986873862068,68.48273225134231,68.1465977975608,85.05358150028202,67.2,66.88,4,20,100,100,6e-05,0.01,1,0.4,0.1
446,conll04_rob_train,2022-03-25_08.24.27.436801,64.48184991876876,21.82795466968543,21.82795466968543,68.64077669902912,17.853922452660058,17.853922452660058,4,20,100,100,0.0001,0.005,1,0.5,0.2
447,conll04_rob_train,2022-03-25_03.02.39.611078,68.94036538515016,37.81108150856208,37.61403717358671,74.72081218274111,36.25,36.04166666666667,4,20,100,100,1e-05,0.005,1,0.5,0.2
448,conll04_rob_train,2022-03-25_18.29.25.511103,0.0,0.0,0.0,0.0,0.0,0.0,4,20,100,100,6e-05,0.01,1,0.5,0.25
449,conll04_rob_train,2022-03-25_09.22.12.349844,81.56363572766637,63.40518264985504,63.40518264985504,85.32008830022075,61.951909476661946,61.951909476661946,4,20,100,100,3e-05,0.005,1,0.45,0.3
450,conll04_rob_train,2022-03-25_18.14.49.998529,81.43911216988141,66.80517476788023,66.80517476788023,85.42713567839196,65.23076923076924,65.23076923076924,4,20,100,100,6e-05,0.01,1,0.5,0.1
451,conll04_rob_train,2022-03-24_23.32.53.566168,51.71315585923688,9.11265590466352,8.996376834896077,56.42753972075107,8.754208754208754,8.61952861952862,4,20,100,100,5e-06,0.01,1,0.5,0.1
452,conll04_rob_train,2022-03-25_16.03.24.968167,81.54383978070324,65.44545645957713,65.44545645957713,85.28089887640449,64.6864686468647,64.6864686468647,4,20,100,100,4e-05,0.0,1,0.55,0.3
453,conll04_rob_train,2022-03-25_06.56.49.494895,77.06869461894411,60.566290411740574,60.566290411740574,81.86356073211314,59.65463108320252,59.65463108320252,4,20,100,100,0.0001,0.05,1,0.5,0.1
454,conll04_rob_train,2022-03-25_06.36.42.045793,0.0,0.0,0.0,0.0,0.0,0.0,4,20,100,100,0.0001,0.05,1,0.4,0.1
455,conll04_rob_train,2022-03-25_21.21.34.151355,81.55847109193331,69.00964294855186,68.78864847341373,85.49019607843137,67.47352496217852,67.17095310136156,4,20,100,100,6e-05,0.005,1,0.5,0.2
456,conll04_rob_train,2022-03-25_19.16.47.465138,82.24220517488754,67.64119987726428,67.64119987726428,85.76233183856502,65.9966499162479,65.9966499162479,4,20,100,100,6e-05,0.01,1,0.6,0.0
457,conll04_rob_train,2022-03-25_10.00.32.463281,79.52815299601153,66.18129001813939,65.83940967625905,83.98891966759001,65.94427244582043,65.63467492260061,4,20,100,100,3e-05,0.005,1,0.5,0.3
458,conll04_rob_train,2022-03-25_13.41.53.310648,80.54247989868679,66.52657021945645,66.3031065323056,84.4148641153633,66.46341463414635,66.15853658536585,4,20,100,100,4e-05,0.005,1,0.5,0.3
459,conll04_rob_train,2022-03-25_01.54.44.266442,71.70784600607558,45.92808035056115,45.92808035056115,77.15789473684211,44.64285714285714,44.64285714285714,4,20,100,100,1e-05,0.01,1,0.4,0.1
460,conll04_rob_train,2022-03-25_16.17.30.227259,80.96594212710815,66.48396850812969,66.48396850812969,84.9636668529905,65.38461538461539,65.38461538461539,4,20,100,100,6e-05,0.005,1,0.45,0.0
461,conll04_rob_train,2022-03-25_03.09.25.218814,76.00050782471118,56.363034551819865,56.363034551819865,80.8964781216649,55.65217391304348,55.65217391304348,4,20,100,100,1e-05,0.0,1,0.4,0.0
462,conll04_rob_train,2022-03-25_14.52.20.969961,81.66248200277238,68.23823968414465,68.23823968414465,85.13215859030836,67.28682170542636,67.28682170542636,4,20,100,100,4e-05,0.0,1,0.45,0.3
463,conll04_rob_train,2022-03-25_17.21.35.953860,83.01810834191794,67.16066156066157,66.93209013209014,86.38132295719845,66.56891495601174,66.27565982404693,4,20,100,100,6e-05,0.01,1,0.4,0.3
464,conll04_rob_train,2022-03-24_23.39.42.520802,50.5386264705834,9.277097294338674,9.110430627672008,54.630935590032905,7.976366322008863,7.828655834564254,4,20,100,100,5e-06,0.01,1,0.5,0.2
465,conll04_rob_train,2022-03-25_21.48.51.042857,82.59764626362858,69.11133299027077,69.11133299027077,86.58057271195958,67.68292682926828,67.68292682926828,4,20,100,100,6e-05,0.005,1,0.55,0.1
466,conll04_rob_train,2022-03-25_04.22.45.109401,81.8778378400383,67.68830296884207,67.36309971680954,85.4739203589456,66.14664586583461,65.83463338533542,4,20,100,100,5e-05,0.05,1,0.5,0.2
467,conll04_rob_train,2022-03-25_19.23.32.011102,80.5156963099488,69.10068907851613,69.10068907851613,84.34004474272932,67.86296900489397,67.86296900489397,4,20,100,100,6e-05,0.01,1,0.6,0.1
468,conll04_rob_train,2022-03-24_22.42.12.250809,50.907386834463686,7.575784368171709,7.466494750685371,55.05193578847969,6.324868231911836,6.229036895064686,4,20,100,100,5e-06,0.05,1,0.4,0.2
469,conll04_rob_train,2022-03-25_21.28.25.055587,81.4412622166431,65.30662705200227,65.30662705200227,85.31546621998883,64.23135464231355,64.23135464231355,4,20,100,100,6e-05,0.005,1,0.5,0.25
470,conll04_rob_train,2022-03-24_22.30.16.672979,49.02045554232893,6.082837436093062,5.976736640337093,53.08235294117647,5.754141238012206,5.6669572798605055,4,20,100,100,5e-06,0.05,1,0.4,0.0
471,conll04_rob_train,2022-03-25_20.16.52.340151,82.0925465105731,61.33029082138363,61.131285846259246,85.61835478455512,58.76010781671158,58.49056603773586,4,20,100,100,6e-05,0.005,1,0.4,0.25
472,conll04_rob_train,2022-03-25_03.42.21.664260,65.01462461714051,36.77049661039498,36.77049661039498,71.42857142857143,34.49131513647642,34.49131513647642,4,20,100,100,1e-05,0.0,1,0.5,0.2
473,conll04_rob_train,2022-03-25_05.10.01.211076,0.0,0.0,0.0,0.0,0.0,0.0,4,20,100,100,5e-05,0.005,1,0.4,0.0
474,conll04_rob_train,2022-03-25_01.14.03.583338,66.3716927247351,35.67701733482384,35.51828717609368,72.83116883116882,30.798479087452467,30.60836501901141,4,20,100,100,1e-05,0.05,1,0.4,0.1
475,conll04_rob_train,2022-03-25_01.00.37.713906,51.489863047107946,8.664528554251676,8.464528554251675,56.265727226975336,8.80503144654088,8.647798742138365,4,20,100,100,5e-06,0.0,1,0.5,0.2
476,conll04_rob_train,2022-03-25_18.36.08.634889,81.94818864000449,67.5185029205841,66.9909371869115,85.45961002785515,65.84992343032158,65.23736600306279,4,20,100,100,6e-05,0.01,1,0.5,0.3
477,conll04_rob_train,2022-03-25_04.09.12.304744,81.95525125626983,68.38094936681401,68.07087184743416,85.74597892401552,67.1664167916042,66.86656671664167,4,20,100,100,5e-05,0.05,1,0.5,0.0
